Month,Variety,Density,Nitrogen,Sulphur,B02,B03,B04,B05,B08
4,Andriolo,90,35,0,1060.981893,1326.290324,1387.188741,1554.666667,3077.589925
4,Andriolo,90,35,1,1062.259644,1218.012573,1106.411173,1408.666667,3087.961833
4,Andriolo,90,80,0,1250.425659,1165.975789,994.5027466,1457.333333,3152.719157
4,Andriolo,90,80,1,1139.62972,1199.474569,1086.191528,1413.666667,3125.119141
4,Andriolo,90,135,0,1002.442525,1314.095785,1477.565877,1553.333333,3048.422852
4,Andriolo,90,135,1,1014.018005,1308.109782,1205.660116,1437.333333,3292.347331
4,Andriolo,180,35,0,1043.436686,1231.27063,1127.195719,1408.666667,3233.978841
4,Andriolo,180,35,1,1207.840739,1145.25354,955.1153361,1408.666667,3400.874268
4,Andriolo,180,80,0,1080.577352,1272.078044,1153.223185,1369.666667,2843.022217
4,Andriolo,180,80,1,1080.51298,1217.586019,1064.12262,1382.666667,2996.750081
4,Andriolo,180,135,0,1124.840007,1254.972046,1106.753947,1427,3188.523844
4,Andriolo,180,135,1,1247.436564,1197.363403,954.2366943,1390.333333,3458.514079
4,Bologna,90,35,0,1295.408325,1193.716797,1112.960856,1458,2827.795247
4,Bologna,90,35,1,1123.745199,1287.826945,1168.678446,1415,2693.656657
4,Bologna,90,80,0,1297.092326,1366.450073,1296.258708,1546.333333,3072.534261
4,Bologna,90,80,1,1264.536458,1314.640381,1320.919067,1631,2922.306641
4,Bologna,90,135,0,1331.317424,1326.344482,1272.284261,1589.333333,3013.567871
4,Bologna,90,135,1,1205.158834,1309.906006,1232.26239,1592,2971.596273
4,Bologna,180,35,0,1072.562907,1391.363566,1325.49707,1423.666667,2545.223633
4,Bologna,180,35,1,1089.845296,1357.149902,1273.686951,1423.666667,2513.550619
4,Bologna,180,80,0,1214.712524,1364.788534,1351.710083,1559.666667,2868.151855
4,Bologna,180,80,1,1225.478149,1374.829468,1370.784953,1631,2899.08431
4,Bologna,180,135,0,906.1986898,1528.637695,1546.654134,1541.666667,3012.152832
4,Bologna,180,135,1,1085.157552,1316.104614,1318.664612,1552,2933.784912
4,Sieve,90,35,0,1150.799886,1239.415568,1088.199137,1435.666667,2846.029378
4,Sieve,90,35,1,1148.562826,1207.087769,1071.979675,1436.333333,2721.721354
4,Sieve,90,80,0,1189.873861,1156.602987,965.048584,1412,3139.157878
4,Sieve,90,80,1,1176.415609,1131.453044,876.7525431,1404.333333,3243.40389
4,Sieve,90,135,0,1261.81661,1332.219279,1212.164591,1506,3411.246257
4,Sieve,90,135,1,1136.957723,1289.799561,1252.132894,1449.666667,3478.760579
4,Sieve,180,35,0,1111.473043,1242.940226,1060.830709,1422,2855.377767
4,Sieve,180,35,1,1178.204468,1162.070679,997.0410156,1422,2802.553467
4,Sieve,180,80,0,1139.881063,1160.061279,1062.481262,1421,3029.878581
4,Sieve,180,80,1,1068.769857,1215.073446,1099.708089,1404.333333,3049.862956
4,Sieve,180,135,0,1154.88737,1404.724447,1323.006429,1510.666667,3050.612467
4,Sieve,180,135,1,1123.420369,1323.07015,1273.551473,1449.666667,3355.685466
4,Verna,90,35,0,1329.647502,1351.439982,1236.986287,1625.333333,2845.034342
4,Verna,90,35,1,1327.743286,1329.705241,1148.131592,1615.333333,2956.255208
4,Verna,90,80,0,1327.172078,1189.702433,1085.142273,1515.666667,3105.805583
4,Verna,90,80,1,1173.671021,1217.738281,1104.515686,1482,2957.33724
4,Verna,90,135,0,1164.227295,1166.37443,1104.619588,1409,2883.724528
4,Verna,90,135,1,1072.628113,1226.556152,1053.243724,1351.166667,2484.897054
4,Verna,180,35,0,1206.321126,1368.525838,1128.742757,1586.666667,3152.284994
